,subset,element_number,FXY,ElementName,Value,Units
64,7,64,004004,Hour,10.0,h
65,7,65,004005,Minute,0.0,min
66,7,66,004006,Second,1.0,s
67,7,67,008023,First-order statistics,4.0,Code table
68,7,68,204008,Operator,,
69,7,69,031021,Associated field significance,5.0,Code table
70,7,70,,Associated field,0.0,
71,7,71,012101,Temperature/air temperature,299.85,K
72,7,72,204000,Operator,,
73,7,73,008023,First-order statistics,,Code table
0,8,0,001125,WIGOS identifier series,0.0,Numeric
1,8,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,8,2,001127,WIGOS issue number,0.0,Numeric
3,8,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,8,4,001001,WMO block number,91.0,Numeric
5,8,5,001002,WMO station number,592.0,Numeric
6,8,6,005001,Latitude (high accuracy),-16.44517,deg
7,8,7,006001,Longitude (high accuracy),-151.752,deg
8,8,8,007030,Height of station ground above mean sea level,3.0,m
9,8,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,8,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,8,11,008094,Method used to calculate the average daily temperature,2,Code table
12,8,12,004001,Year,2021.0,a
13,8,13,004002,Month,10.0,mon
14,8,14,004003,Day,9.0,d
15,8,15,004023,Time period or displacement,0.0,d
16,8,16,004004,Hour,18.0,h
17,8,17,004005,Minute,0.0,min
18,8,18,004006,Second,1.0,s
19,8,19,204008,Operator,,
20,8,20,031021,Associated field significance,5,Code table
21,8,21,,Associated field,0,
22,8,22,013060,Total accumulated precipitation,11.700000000000001,kg m-2
23,8,23,204000,Operator,,
24,8,24,004023,Time period or displacement,0.0,d
25,8,25,004004,Hour,18.0,h
26,8,26,004005,Minute,0.0,min
27,8,27,004006,Second,1.0,s
28,8,28,204008,Operator,,
29,8,29,031021,Associated field significance,5,Code table
30,8,30,,Associated field,6,
31,8,31,013012,Depth of fresh snow (depth of snowfall),,m
32,8,32,204000,Operator,,
33,8,33,004023,Time period or displacement,0.0,d
34,8,34,004004,Hour,18.0,h
35,8,35,004005,Minute,0.0,min
36,8,36,004006,Second,0.0,s
37,8,37,204008,Operator,,
38,8,38,031021,Associated field significance,5,Code table
39,8,39,,Associated field,6,
40,8,40,013013,Total snow depth (snow depth),,m
41,8,41,204000,Operator,,
42,8,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,8,43,004023,Time period or displacement,0.0,d
44,8,44,004004,Hour,18.0,h
45,8,45,004005,Minute,0.0,min
46,8,46,004006,Second,1.0,s
47,8,47,008023,First-order statistics,2.0,Code table
48,8,48,204008,Operator,,
49,8,49,031021,Associated field significance,5.0,Code table
50,8,50,,Associated field,0.0,
51,8,51,012101,Temperature/air temperature,300.95,K
52,8,52,204000,Operator,,
53,8,53,004023,Time period or displacement,0.0,d
54,8,54,004004,Hour,6.0,h
55,8,55,004005,Minute,0.0,min
56,8,56,004006,Second,1.0,s
57,8,57,008023,First-order statistics,3.0,Code table
58,8,58,204008,Operator,,
59,8,59,031021,Associated field significance,5.0,Code table
60,8,60,,Associated field,0.0,
61,8,61,012101,Temperature/air temperature,296.35,K
62,8,62,204000,Operator,,
63,8,63,004023,Time period or displacement,0.0,d
64,8,64,004004,Hour,10.0,h
65,8,65,004005,Minute,0.0,min
66,8,66,004006,Second,1.0,s
67,8,67,008023,First-order statistics,4.0,Code table
68,8,68,204008,Operator,,
69,8,69,031021,Associated field significance,5.0,Code table
70,8,70,,Associated field,0.0,
71,8,71,012101,Temperature/air temperature,298.45,K
72,8,72,204000,Operator,,
73,8,73,008023,First-order statistics,,Code table
0,9,0,001125,WIGOS identifier series,0.0,Numeric
1,9,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,9,2,001127,WIGOS issue number,0.0,Numeric
3,9,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,9,4,001001,WMO block number,91.0,Numeric
5,9,5,001002,WMO station number,592.0,Numeric
6,9,6,005001,Latitude (high accuracy),-16.44517,deg
7,9,7,006001,Longitude (high accuracy),-151.752,deg
8,9,8,007030,Height of station ground above mean sea level,3.0,m
9,9,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,9,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,9,11,008094,Method used to calculate the average daily temperature,2,Code table
12,9,12,004001,Year,2021.0,a
13,9,13,004002,Month,10.0,mon
14,9,14,004003,Day,10.0,d
15,9,15,004023,Time period or displacement,0.0,d
16,9,16,004004,Hour,18.0,h
17,9,17,004005,Minute,0.0,min
18,9,18,004006,Second,1.0,s
19,9,19,204008,Operator,,
20,9,20,031021,Associated field significance,5,Code table
21,9,21,,Associated field,0,
22,9,22,013060,Total accumulated precipitation,0.8,kg m-2
23,9,23,204000,Operator,,
24,9,24,004023,Time period or displacement,0.0,d
25,9,25,004004,Hour,18.0,h
26,9,26,004005,Minute,0.0,min
27,9,27,004006,Second,1.0,s
28,9,28,204008,Operator,,
29,9,29,031021,Associated field significance,5,Code table
30,9,30,,Associated field,6,
31,9,31,013012,Depth of fresh snow (depth of snowfall),,m
32,9,32,204000,Operator,,
33,9,33,004023,Time period or displacement,0.0,d
34,9,34,004004,Hour,18.0,h
35,9,35,004005,Minute,0.0,min
36,9,36,004006,Second,0.0,s
37,9,37,204008,Operator,,
38,9,38,031021,Associated field significance,5,Code table
39,9,39,,Associated field,6,
40,9,40,013013,Total snow depth (snow depth),,m
41,9,41,204000,Operator,,
42,9,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,9,43,004023,Time period or displacement,0.0,d
44,9,44,004004,Hour,18.0,h
45,9,45,004005,Minute,0.0,min
46,9,46,004006,Second,1.0,s
47,9,47,008023,First-order statistics,2.0,Code table
48,9,48,204008,Operator,,
49,9,49,031021,Associated field significance,5.0,Code table
50,9,50,,Associated field,0.0,
51,9,51,012101,Temperature/air temperature,302.65000000000003,K
52,9,52,204000,Operator,,
53,9,53,004023,Time period or displacement,0.0,d
54,9,54,004004,Hour,6.0,h
55,9,55,004005,Minute,0.0,min
56,9,56,004006,Second,1.0,s
57,9,57,008023,First-order statistics,3.0,Code table
58,9,58,204008,Operator,,
59,9,59,031021,Associated field significance,5.0,Code table
60,9,60,,Associated field,0.0,
61,9,61,012101,Temperature/air temperature,297.45,K
62,9,62,204000,Operator,,
63,9,63,004023,Time period or displacement,0.0,d
64,9,64,004004,Hour,10.0,h
65,9,65,004005,Minute,0.0,min
66,9,66,004006,Second,1.0,s
67,9,67,008023,First-order statistics,4.0,Code table
68,9,68,204008,Operator,,
69,9,69,031021,Associated field significance,5.0,Code table
70,9,70,,Associated field,0.0,
71,9,71,012101,Temperature/air temperature,299.45,K
72,9,72,204000,Operator,,
73,9,73,008023,First-order statistics,,Code table
0,10,0,001125,WIGOS identifier series,0.0,Numeric
1,10,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,10,2,001127,WIGOS issue number,0.0,Numeric
3,10,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,10,4,001001,WMO block number,91.0,Numeric
5,10,5,001002,WMO station number,592.0,Numeric
6,10,6,005001,Latitude (high accuracy),-16.44517,deg
7,10,7,006001,Longitude (high accuracy),-151.752,deg
8,10,8,007030,Height of station ground above mean sea level,3.0,m
9,10,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,10,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,10,11,008094,Method used to calculate the average daily temperature,2,Code table
12,10,12,004001,Year,2021.0,a
13,10,13,004002,Month,10.0,mon
14,10,14,004003,Day,11.0,d
15,10,15,004023,Time period or displacement,0.0,d
16,10,16,004004,Hour,18.0,h
17,10,17,004005,Minute,0.0,min
18,10,18,004006,Second,1.0,s
19,10,19,204008,Operator,,
20,10,20,031021,Associated field significance,5,Code table
21,10,21,,Associated field,0,
22,10,22,013060,Total accumulated precipitation,2.8000000000000003,kg m-2
23,10,23,204000,Operator,,
24,10,24,004023,Time period or displacement,0.0,d
25,10,25,004004,Hour,18.0,h
26,10,26,004005,Minute,0.0,min
27,10,27,004006,Second,1.0,s
28,10,28,204008,Operator,,
29,10,29,031021,Associated field significance,5,Code table
30,10,30,,Associated field,6,
31,10,31,013012,Depth of fresh snow (depth of snowfall),,m
32,10,32,204000,Operator,,
33,10,33,004023,Time period or displacement,0.0,d
34,10,34,004004,Hour,18.0,h
35,10,35,004005,Minute,0.0,min
36,10,36,004006,Second,0.0,s
37,10,37,204008,Operator,,
38,10,38,031021,Associated field significance,5,Code table
39,10,39,,Associated field,6,
40,10,40,013013,Total snow depth (snow depth),,m
41,10,41,204000,Operator,,
42,10,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,10,43,004023,Time period or displacement,0.0,d
44,10,44,004004,Hour,18.0,h
45,10,45,004005,Minute,0.0,min
46,10,46,004006,Second,1.0,s
47,10,47,008023,First-order statistics,2.0,Code table
48,10,48,204008,Operator,,
49,10,49,031021,Associated field significance,5.0,Code table
50,10,50,,Associated field,0.0,
51,10,51,012101,Temperature/air temperature,303.15000000000003,K
52,10,52,204000,Operator,,
53,10,53,004023,Time period or displacement,0.0,d
54,10,54,004004,Hour,6.0,h
55,10,55,004005,Minute,0.0,min
56,10,56,004006,Second,1.0,s
57,10,57,008023,First-order statistics,3.0,Code table
58,10,58,204008,Operator,,
59,10,59,031021,Associated field significance,5.0,Code table
60,10,60,,Associated field,0.0,
61,10,61,012101,Temperature/air temperature,298.45,K
62,10,62,204000,Operator,,
63,10,63,004023,Time period or displacement,0.0,d
64,10,64,004004,Hour,10.0,h
65,10,65,004005,Minute,0.0,min
66,10,66,004006,Second,1.0,s
67,10,67,008023,First-order statistics,4.0,Code table
68,10,68,204008,Operator,,
69,10,69,031021,Associated field significance,5.0,Code table
70,10,70,,Associated field,0.0,
71,10,71,012101,Temperature/air temperature,300.55,K
72,10,72,204000,Operator,,
73,10,73,008023,First-order statistics,,Code table
0,11,0,001125,WIGOS identifier series,0.0,Numeric
1,11,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,11,2,001127,WIGOS issue number,0.0,Numeric
3,11,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,11,4,001001,WMO block number,91.0,Numeric
5,11,5,001002,WMO station number,592.0,Numeric
6,11,6,005001,Latitude (high accuracy),-16.44517,deg
7,11,7,006001,Longitude (high accuracy),-151.752,deg
8,11,8,007030,Height of station ground above mean sea level,3.0,m
9,11,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,11,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,11,11,008094,Method used to calculate the average daily temperature,2,Code table
12,11,12,004001,Year,2021.0,a
13,11,13,004002,Month,10.0,mon
14,11,14,004003,Day,12.0,d
15,11,15,004023,Time period or displacement,0.0,d
16,11,16,004004,Hour,18.0,h
17,11,17,004005,Minute,0.0,min
18,11,18,004006,Second,1.0,s
19,11,19,204008,Operator,,
20,11,20,031021,Associated field significance,5,Code table
21,11,21,,Associated field,0,
22,11,22,013060,Total accumulated precipitation,1.6,kg m-2
23,11,23,204000,Operator,,
24,11,24,004023,Time period or displacement,0.0,d
25,11,25,004004,Hour,18.0,h
26,11,26,004005,Minute,0.0,min
27,11,27,004006,Second,1.0,s
28,11,28,204008,Operator,,
29,11,29,031021,Associated field significance,5,Code table
30,11,30,,Associated field,6,
31,11,31,013012,Depth of fresh snow (depth of snowfall),,m
32,11,32,204000,Operator,,
33,11,33,004023,Time period or displacement,0.0,d
34,11,34,004004,Hour,18.0,h
35,11,35,004005,Minute,0.0,min
36,11,36,004006,Second,0.0,s
37,11,37,204008,Operator,,
38,11,38,031021,Associated field significance,5,Code table
39,11,39,,Associated field,6,
40,11,40,013013,Total snow depth (snow depth),,m
41,11,41,204000,Operator,,
42,11,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,11,43,004023,Time period or displacement,0.0,d
44,11,44,004004,Hour,18.0,h
45,11,45,004005,Minute,0.0,min
46,11,46,004006,Second,1.0,s
47,11,47,008023,First-order statistics,2.0,Code table
48,11,48,204008,Operator,,
49,11,49,031021,Associated field significance,5.0,Code table
50,11,50,,Associated field,0.0,
51,11,51,012101,Temperature/air temperature,302.75,K
52,11,52,204000,Operator,,
53,11,53,004023,Time period or displacement,0.0,d
54,11,54,004004,Hour,6.0,h
55,11,55,004005,Minute,0.0,min
56,11,56,004006,Second,1.0,s
57,11,57,008023,First-order statistics,3.0,Code table
58,11,58,204008,Operator,,
59,11,59,031021,Associated field significance,5.0,Code table
60,11,60,,Associated field,0.0,
61,11,61,012101,Temperature/air temperature,299.05,K
62,11,62,204000,Operator,,
63,11,63,004023,Time period or displacement,0.0,d
64,11,64,004004,Hour,10.0,h
65,11,65,004005,Minute,0.0,min
66,11,66,004006,Second,1.0,s
67,11,67,008023,First-order statistics,4.0,Code table
68,11,68,204008,Operator,,
69,11,69,031021,Associated field significance,5.0,Code table
70,11,70,,Associated field,0.0,
71,11,71,012101,Temperature/air temperature,300.45,K
72,11,72,204000,Operator,,
73,11,73,008023,First-order statistics,,Code table
0,12,0,001125,WIGOS identifier series,0.0,Numeric
1,12,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,12,2,001127,WIGOS issue number,0.0,Numeric
3,12,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,12,4,001001,WMO block number,91.0,Numeric
5,12,5,001002,WMO station number,592.0,Numeric
6,12,6,005001,Latitude (high accuracy),-16.44517,deg
7,12,7,006001,Longitude (high accuracy),-151.752,deg
8,12,8,007030,Height of station ground above mean sea level,3.0,m
9,12,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,12,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,12,11,008094,Method used to calculate the average daily temperature,2,Code table
12,12,12,004001,Year,2021.0,a
13,12,13,004002,Month,10.0,mon
14,12,14,004003,Day,13.0,d
15,12,15,004023,Time period or displacement,0.0,d
16,12,16,004004,Hour,18.0,h
17,12,17,004005,Minute,0.0,min
18,12,18,004006,Second,1.0,s
19,12,19,204008,Operator,,
20,12,20,031021,Associated field significance,5,Code table
21,12,21,,Associated field,0,
22,12,22,013060,Total accumulated precipitation,0.0,kg m-2
23,12,23,204000,Operator,,
24,12,24,004023,Time period or displacement,0.0,d
25,12,25,004004,Hour,18.0,h
26,12,26,004005,Minute,0.0,min
27,12,27,004006,Second,1.0,s
28,12,28,204008,Operator,,
29,12,29,031021,Associated field significance,5,Code table
30,12,30,,Associated field,6,
31,12,31,013012,Depth of fresh snow (depth of snowfall),,m
32,12,32,204000,Operator,,
33,12,33,004023,Time period or displacement,0.0,d
34,12,34,004004,Hour,18.0,h
35,12,35,004005,Minute,0.0,min
36,12,36,004006,Second,0.0,s
37,12,37,204008,Operator,,
38,12,38,031021,Associated field significance,5,Code table
39,12,39,,Associated field,6,
40,12,40,013013,Total snow depth (snow depth),,m
41,12,41,204000,Operator,,
42,12,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,12,43,004023,Time period or displacement,0.0,d
44,12,44,004004,Hour,18.0,h
45,12,45,004005,Minute,0.0,min
46,12,46,004006,Second,1.0,s
47,12,47,008023,First-order statistics,2.0,Code table
48,12,48,204008,Operator,,
49,12,49,031021,Associated field significance,5.0,Code table
50,12,50,,Associated field,0.0,
51,12,51,012101,Temperature/air temperature,303.35,K
52,12,52,204000,Operator,,
53,12,53,004023,Time period or displacement,0.0,d
54,12,54,004004,Hour,6.0,h
55,12,55,004005,Minute,0.0,min
56,12,56,004006,Second,1.0,s
57,12,57,008023,First-order statistics,3.0,Code table
58,12,58,204008,Operator,,
59,12,59,031021,Associated field significance,5.0,Code table
60,12,60,,Associated field,0.0,
61,12,61,012101,Temperature/air temperature,298.65000000000003,K
62,12,62,204000,Operator,,
63,12,63,004023,Time period or displacement,0.0,d
64,12,64,004004,Hour,10.0,h
65,12,65,004005,Minute,0.0,min
66,12,66,004006,Second,1.0,s
67,12,67,008023,First-order statistics,4.0,Code table
68,12,68,204008,Operator,,
69,12,69,031021,Associated field significance,5.0,Code table
70,12,70,,Associated field,0.0,
71,12,71,012101,Temperature/air temperature,300.85,K
72,12,72,204000,Operator,,
73,12,73,008023,First-order statistics,,Code table
0,13,0,001125,WIGOS identifier series,0.0,Numeric
1,13,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,13,2,001127,WIGOS issue number,0.0,Numeric
3,13,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,13,4,001001,WMO block number,91.0,Numeric
5,13,5,001002,WMO station number,592.0,Numeric
6,13,6,005001,Latitude (high accuracy),-16.44517,deg
7,13,7,006001,Longitude (high accuracy),-151.752,deg
8,13,8,007030,Height of station ground above mean sea level,3.0,m
9,13,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,13,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,13,11,008094,Method used to calculate the average daily temperature,2,Code table
12,13,12,004001,Year,2021.0,a
13,13,13,004002,Month,10.0,mon
14,13,14,004003,Day,14.0,d
15,13,15,004023,Time period or displacement,0.0,d
16,13,16,004004,Hour,18.0,h
17,13,17,004005,Minute,0.0,min
18,13,18,004006,Second,1.0,s
19,13,19,204008,Operator,,
20,13,20,031021,Associated field significance,5,Code table
21,13,21,,Associated field,0,
22,13,22,013060,Total accumulated precipitation,0.0,kg m-2
23,13,23,204000,Operator,,
24,13,24,004023,Time period or displacement,0.0,d
25,13,25,004004,Hour,18.0,h
26,13,26,004005,Minute,0.0,min
27,13,27,004006,Second,1.0,s
28,13,28,204008,Operator,,
29,13,29,031021,Associated field significance,5,Code table
30,13,30,,Associated field,6,
31,13,31,013012,Depth of fresh snow (depth of snowfall),,m
32,13,32,204000,Operator,,
33,13,33,004023,Time period or displacement,0.0,d
34,13,34,004004,Hour,18.0,h
35,13,35,004005,Minute,0.0,min
36,13,36,004006,Second,0.0,s
37,13,37,204008,Operator,,
38,13,38,031021,Associated field significance,5,Code table
39,13,39,,Associated field,6,
40,13,40,013013,Total snow depth (snow depth),,m
41,13,41,204000,Operator,,
42,13,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,13,43,004023,Time period or displacement,0.0,d
44,13,44,004004,Hour,18.0,h
45,13,45,004005,Minute,0.0,min
46,13,46,004006,Second,1.0,s
47,13,47,008023,First-order statistics,2.0,Code table
48,13,48,204008,Operator,,
49,13,49,031021,Associated field significance,5.0,Code table
50,13,50,,Associated field,0.0,
51,13,51,012101,Temperature/air temperature,303.35,K
52,13,52,204000,Operator,,
53,13,53,004023,Time period or displacement,0.0,d
54,13,54,004004,Hour,6.0,h
55,13,55,004005,Minute,0.0,min
56,13,56,004006,Second,1.0,s
57,13,57,008023,First-order statistics,3.0,Code table
58,13,58,204008,Operator,,
59,13,59,031021,Associated field significance,5.0,Code table
60,13,60,,Associated field,0.0,
61,13,61,012101,Temperature/air temperature,298.35,K
62,13,62,204000,Operator,,
63,13,63,004023,Time period or displacement,0.0,d
64,13,64,004004,Hour,10.0,h
65,13,65,004005,Minute,0.0,min
66,13,66,004006,Second,1.0,s
67,13,67,008023,First-order statistics,4.0,Code table
68,13,68,204008,Operator,,
69,13,69,031021,Associated field significance,5.0,Code table
70,13,70,,Associated field,0.0,
71,13,71,012101,Temperature/air temperature,300.85,K
72,13,72,204000,Operator,,
73,13,73,008023,First-order statistics,,Code table
0,14,0,001125,WIGOS identifier series,0.0,Numeric
1,14,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,14,2,001127,WIGOS issue number,0.0,Numeric
3,14,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,14,4,001001,WMO block number,91.0,Numeric
5,14,5,001002,WMO station number,592.0,Numeric
6,14,6,005001,Latitude (high accuracy),-16.44517,deg
7,14,7,006001,Longitude (high accuracy),-151.752,deg
8,14,8,007030,Height of station ground above mean sea level,3.0,m
9,14,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,14,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,14,11,008094,Method used to calculate the average daily temperature,2,Code table
12,14,12,004001,Year,2021.0,a
13,14,13,004002,Month,10.0,mon
14,14,14,004003,Day,15.0,d
15,14,15,004023,Time period or displacement,0.0,d
16,14,16,004004,Hour,18.0,h
17,14,17,004005,Minute,0.0,min
18,14,18,004006,Second,1.0,s
19,14,19,204008,Operator,,
20,14,20,031021,Associated field significance,5,Code table
21,14,21,,Associated field,0,
22,14,22,013060,Total accumulated precipitation,0.0,kg m-2
23,14,23,204000,Operator,,
24,14,24,004023,Time period or displacement,0.0,d
25,14,25,004004,Hour,18.0,h
26,14,26,004005,Minute,0.0,min
27,14,27,004006,Second,1.0,s
28,14,28,204008,Operator,,
29,14,29,031021,Associated field significance,5,Code table
30,14,30,,Associated field,6,
31,14,31,013012,Depth of fresh snow (depth of snowfall),,m
32,14,32,204000,Operator,,
33,14,33,004023,Time period or displacement,0.0,d
34,14,34,004004,Hour,18.0,h
35,14,35,004005,Minute,0.0,min
36,14,36,004006,Second,0.0,s
37,14,37,204008,Operator,,
38,14,38,031021,Associated field significance,5,Code table
39,14,39,,Associated field,6,
40,14,40,013013,Total snow depth (snow depth),,m
41,14,41,204000,Operator,,
42,14,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,14,43,004023,Time period or displacement,0.0,d
44,14,44,004004,Hour,18.0,h
45,14,45,004005,Minute,0.0,min
46,14,46,004006,Second,1.0,s
47,14,47,008023,First-order statistics,2.0,Code table
48,14,48,204008,Operator,,
49,14,49,031021,Associated field significance,5.0,Code table
50,14,50,,Associated field,0.0,
51,14,51,012101,Temperature/air temperature,303.35,K
52,14,52,204000,Operator,,
53,14,53,004023,Time period or displacement,0.0,d
54,14,54,004004,Hour,6.0,h
55,14,55,004005,Minute,0.0,min
56,14,56,004006,Second,1.0,s
57,14,57,008023,First-order statistics,3.0,Code table
58,14,58,204008,Operator,,
59,14,59,031021,Associated field significance,5.0,Code table
60,14,60,,Associated field,0.0,
61,14,61,012101,Temperature/air temperature,299.25,K
62,14,62,204000,Operator,,
63,14,63,004023,Time period or displacement,0.0,d
64,14,64,004004,Hour,10.0,h
65,14,65,004005,Minute,0.0,min
66,14,66,004006,Second,1.0,s
67,14,67,008023,First-order statistics,4.0,Code table
68,14,68,204008,Operator,,
69,14,69,031021,Associated field significance,5.0,Code table
70,14,70,,Associated field,0.0,
71,14,71,012101,Temperature/air temperature,300.95,K
72,14,72,204000,Operator,,
73,14,73,008023,First-order statistics,,Code table
0,15,0,001125,WIGOS identifier series,0.0,Numeric
1,15,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,15,2,001127,WIGOS issue number,0.0,Numeric
3,15,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,15,4,001001,WMO block number,91.0,Numeric
5,15,5,001002,WMO station number,592.0,Numeric
6,15,6,005001,Latitude (high accuracy),-16.44517,deg
7,15,7,006001,Longitude (high accuracy),-151.752,deg
8,15,8,007030,Height of station ground above mean sea level,3.0,m
9,15,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,15,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,15,11,008094,Method used to calculate the average daily temperature,2,Code table
12,15,12,004001,Year,2021.0,a
13,15,13,004002,Month,10.0,mon
14,15,14,004003,Day,16.0,d
15,15,15,004023,Time period or displacement,0.0,d
16,15,16,004004,Hour,18.0,h
17,15,17,004005,Minute,0.0,min
18,15,18,004006,Second,1.0,s
19,15,19,204008,Operator,,
20,15,20,031021,Associated field significance,5,Code table
21,15,21,,Associated field,0,
22,15,22,013060,Total accumulated precipitation,0.8,kg m-2
23,15,23,204000,Operator,,
24,15,24,004023,Time period or displacement,0.0,d
25,15,25,004004,Hour,18.0,h
26,15,26,004005,Minute,0.0,min
27,15,27,004006,Second,1.0,s
28,15,28,204008,Operator,,
29,15,29,031021,Associated field significance,5,Code table
30,15,30,,Associated field,6,
31,15,31,013012,Depth of fresh snow (depth of snowfall),,m
32,15,32,204000,Operator,,
33,15,33,004023,Time period or displacement,0.0,d
34,15,34,004004,Hour,18.0,h
35,15,35,004005,Minute,0.0,min
36,15,36,004006,Second,0.0,s
37,15,37,204008,Operator,,
38,15,38,031021,Associated field significance,5,Code table
39,15,39,,Associated field,6,
40,15,40,013013,Total snow depth (snow depth),,m
41,15,41,204000,Operator,,
42,15,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
